category,n_features,mdi_sum,group_perm_mean,group_perm_std
gad7,1,0.7384,1.3534,0.4194
PSQI,1,0.0933,0.0442,0.0194
Formants,18,0.0246,0.0043,0.0055
age,1,0.0056,0.0033,0.0024
LES,1,0.0024,0.0019,0.001
education_years,1,0.0015,0.0017,0.0009
ctq_sf,1,0.0008,0.0007,0.0006
gender,1,0.0001,0.0002,0.0001
SSRS,1,0.0007,-0.0002,0.0004
Pitch,2,0.0056,-0.0005,0.0018
Timing/Pauses,6,0.0071,-0.001,0.001
Spectral,33,0.0919,-0.0013,0.0065
Voice quality,10,0.0205,-0.0028,0.0032
Loudness/Energy,3,0.0074,-0.0055,0.0027
