model,feature,rank_by_shap,category,mdi,shap_abs,shap_signed,perm_mean,perm_sd
Demographics,education_years,1,Demographics,0.3989,4.9548,3.1506,1.0183,0.4917
Demographics,age,2,Demographics,0.5102,2.9176,0.6893,0.2671,0.2574
Demographics,gender,3,Demographics,0.0909,0.8821,-0.8821,0.0495,0.0764
Psych,gad7,1,Clinical,0.7754,6.9441,1.98,0.9066,0.3405
Psych,PSQI,2,Clinical,0.1322,1.0825,0.1432,0.0683,0.0358
Psych,SSRS,3,Clinical,0.0442,1.0674,-0.1187,-0.0148,0.0242
Psych,ctq_sf,4,Clinical,0.0224,0.2262,-0.1137,0.0092,0.0066
Psych,LES,5,Clinical,0.0259,0.1404,0.0439,0.0178,0.0097
Clinical,gad7,1,Clinical,0.7699,6.9623,1.9798,0.9331,0.3422
Clinical,PSQI,2,Clinical,0.1248,1.1251,0.272,0.0546,0.0259
Clinical,SSRS,3,Clinical,0.0297,0.7564,-0.1341,-0.0178,0.0209
Clinical,age,4,Demographics,0.0238,0.3133,-0.0277,0.0025,0.0055
Clinical,education_years,5,Demographics,0.0148,0.1589,0.1381,-0.0021,0.0066
Clinical,ctq_sf,6,Clinical,0.0115,0.1503,-0.0329,0.0041,0.0035
Clinical,LES,7,Clinical,0.0231,0.1142,0.0731,0.0156,0.0081
Clinical,gender,8,Demographics,0.0024,0.0671,0.0671,-0.002,0.0013
Acoustic,spectralFluxV_sma3nz_amean,1,Spectral,0.2496,2.2506,-0.5209,0.1611,0.1586
Acoustic,mfcc3V_sma3nz_stddevNorm,2,Spectral,0.0261,0.4006,0.1915,0.034,0.0435
Acoustic,logRelF0-H1-A3_sma3nz_amean,3,Voice quality,0.034,0.3311,0.0277,0.0235,0.0254
Acoustic,F2frequency_sma3nz_stddevNorm,4,Formants,0.0324,0.3306,-0.0218,-0.0278,0.0273
Acoustic,equivalentSoundLevel_dBp,5,Loudness/Energy,0.0467,0.3233,-0.1401,-0.0021,0.0221
Acoustic,mfcc2_sma3_stddevNorm,6,Spectral,0.0295,0.2991,-0.1324,-0.034,0.0094
Acoustic,F1amplitudeLogRelF0_sma3nz_amean,7,Formants,0.0329,0.2937,-0.0673,-0.02,0.0265
Acoustic,alphaRatioV_sma3nz_stddevNorm,8,Spectral,0.0278,0.2875,0.1759,0.008,0.0293
Acoustic,logRelF0-H1-H2_sma3nz_amean,9,Voice quality,0.0146,0.2792,0.1972,0.0051,0.0226
Acoustic,F1amplitudeLogRelF0_sma3nz_stddevNorm,10,Formants,0.0277,0.2549,0.0372,-0.0174,0.0175
Acoustic,spectralFlux_sma3_amean,11,Spectral,0.0276,0.224,-0.0929,-0.004,0.0154
Acoustic,spectralFlux_sma3_stddevNorm,12,Spectral,0.0239,0.2108,-0.0585,0.0011,0.0102
Acoustic,shimmerLocaldB_sma3nz_stddevNorm,13,Voice quality,0.0157,0.1971,0.0059,0.0481,0.0202
Acoustic,spectralFluxUV_sma3nz_amean,14,Spectral,0.0223,0.1889,-0.1088,0.0029,0.0102
Acoustic,mfcc3V_sma3nz_amean,15,Spectral,0.0108,0.1843,0.066,-0.0247,0.017
Acoustic,logRelF0-H1-H2_sma3nz_stddevNorm,16,Voice quality,0.0205,0.1711,0.0798,0.0147,0.0137
Acoustic,F3amplitudeLogRelF0_sma3nz_amean,17,Formants,0.0162,0.1594,0.0308,-0.01,0.0109
Acoustic,F3bandwidth_sma3nz_amean,18,Formants,0.0118,0.15,0.0467,0.0146,0.0212
Acoustic,F0semitoneFrom27.5Hz_sma3nz_amean,19,Pitch,0.0185,0.1341,-0.0878,0.0073,0.0106
Acoustic,loudness_sma3_amean,20,Loudness/Energy,0.0144,0.1227,-0.026,-0.0051,0.0115
Acoustic,spectralFluxV_sma3nz_stddevNorm,21,Spectral,0.0105,0.1223,0.016,-0.0057,0.0055
Acoustic,HNRdBACF_sma3nz_stddevNorm,22,Voice quality,0.0144,0.1219,-0.0644,0.0067,0.0061
Acoustic,slopeV0-500_sma3nz_stddevNorm,23,Spectral,0.0228,0.1147,0.0435,0.0022,0.0074
Acoustic,mfcc3_sma3_amean,24,Spectral,0.01,0.1104,-0.0884,-0.0035,0.0052
Acoustic,F3bandwidth_sma3nz_stddevNorm,25,Formants,0.0137,0.1052,-0.0405,-0.0024,0.0104
Acoustic,loudness_sma3_stddevNorm,26,Loudness/Energy,0.0115,0.1038,-0.0247,-0.0065,0.0115
Acoustic,F3frequency_sma3nz_stddevNorm,27,Formants,0.0046,0.1021,0.0725,-0.0097,0.0043
Acoustic,alphaRatioUV_sma3nz_amean,28,Spectral,0.0127,0.1006,-0.0068,0.0055,0.0083
Acoustic,mfcc4_sma3_amean,29,Spectral,0.0095,0.099,0.0317,0.0054,0.0098
Acoustic,mfcc4V_sma3nz_amean,30,Spectral,0.0084,0.0918,-0.0179,0.0,0.006
Acoustic,mfcc2V_sma3nz_stddevNorm,31,Spectral,0.0089,0.0842,0.0005,-0.005,0.0037
Acoustic,slopeV500-1500_sma3nz_amean,32,Spectral,0.0076,0.0818,0.012,-0.0,0.0073
Acoustic,logRelF0-H1-A3_sma3nz_stddevNorm,33,Voice quality,0.007,0.0807,0.0292,-0.0087,0.0068
Acoustic,F2amplitudeLogRelF0_sma3nz_stddevNorm,34,Formants,0.0062,0.0745,0.0188,-0.0078,0.0057
Acoustic,slopeV500-1500_sma3nz_stddevNorm,35,Spectral,0.0017,0.0733,-0.0218,0.0107,0.0063
Acoustic,slopeUV0-500_sma3nz_amean,36,Spectral,0.0104,0.0727,-0.0359,-0.0072,0.0054
Acoustic,hammarbergIndexV_sma3nz_stddevNorm,37,Spectral,0.0051,0.0642,-0.0092,-0.0097,0.0044
Acoustic,mfcc4V_sma3nz_stddevNorm,38,Spectral,0.0033,0.0639,-0.0068,0.0039,0.0051
Acoustic,mfcc2V_sma3nz_amean,39,Spectral,0.0031,0.0605,-0.0207,-0.0007,0.0058
Acoustic,F1bandwidth_sma3nz_stddevNorm,40,Formants,0.0073,0.0602,-0.0136,-0.0087,0.0064
Acoustic,mfcc3_sma3_stddevNorm,41,Spectral,0.0068,0.0565,0.0029,-0.0047,0.0023
Acoustic,F1bandwidth_sma3nz_amean,42,Formants,0.0053,0.0542,-0.0277,0.0005,0.003
Acoustic,StddevVoicedSegmentLengthSec,43,Timing/Pauses,0.0067,0.0517,0.0162,-0.008,0.0051
Acoustic,HNRdBACF_sma3nz_amean,44,Voice quality,0.0076,0.0505,-0.0005,-0.0014,0.0046
Acoustic,hammarbergIndexV_sma3nz_amean,45,Spectral,0.0053,0.0502,0.0304,-0.0048,0.0095
Acoustic,loudnessPeaksPerSec,46,Timing/Pauses,0.006,0.0475,0.0083,-0.0064,0.0045
Acoustic,F2amplitudeLogRelF0_sma3nz_amean,47,Formants,0.0046,0.0475,0.0001,-0.006,0.0037
Acoustic,jitterLocal_sma3nz_amean,48,Voice quality,0.0062,0.045,-0.0026,0.0037,0.0034
Acoustic,F2bandwidth_sma3nz_amean,49,Formants,0.005,0.0414,-0.0126,-0.0036,0.0034
Acoustic,mfcc2_sma3_amean,50,Spectral,0.0072,0.0401,-0.0366,-0.0011,0.0033
Acoustic,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,51,Pitch,0.0036,0.0387,0.0095,-0.0014,0.0034
Acoustic,mfcc1_sma3_amean,52,Spectral,0.0013,0.0375,-0.0004,-0.0022,0.0048
Acoustic,mfcc4_sma3_stddevNorm,53,Spectral,0.0042,0.037,0.0109,0.001,0.0017
Acoustic,alphaRatioV_sma3nz_amean,54,Spectral,0.0027,0.0364,0.0002,-0.0025,0.0033
Acoustic,mfcc1V_sma3nz_stddevNorm,55,Spectral,0.0044,0.0358,0.0153,-0.0082,0.0063
Acoustic,slopeV0-500_sma3nz_amean,56,Spectral,0.005,0.0357,0.0071,0.0009,0.0026
Acoustic,mfcc1_sma3_stddevNorm,57,Spectral,0.0132,0.0326,-0.0308,0.003,0.0038
Acoustic,F1frequency_sma3nz_stddevNorm,58,Formants,0.0036,0.0278,-0.0278,0.0008,0.0032
Acoustic,VoicedSegmentsPerSec,59,Timing/Pauses,0.0026,0.0245,0.0081,-0.0012,0.0019
Acoustic,F1frequency_sma3nz_amean,60,Formants,0.0023,0.0226,-0.0075,-0.0007,0.0013
Acoustic,mfcc1V_sma3nz_amean,61,Spectral,0.0027,0.0222,-0.0079,0.0044,0.005
Acoustic,StddevUnvoicedSegmentLength,62,Timing/Pauses,0.0009,0.0221,0.0067,0.001,0.0023
Acoustic,slopeUV500-1500_sma3nz_amean,63,Spectral,0.0008,0.0196,0.0003,0.0009,0.0034
Acoustic,F3frequency_sma3nz_amean,64,Formants,0.0026,0.019,-0.0124,-0.0052,0.0027
