,category,mdi,perm_mean,perm_std
spectralFluxV_sma3nz_amean,Spectral,0.24959482928342497,0.1611289204499474,0.1585895844149892
equivalentSoundLevel_dBp,Loudness/Energy,0.046749281596460246,-0.0021144845027110263,0.02209960308117127
logRelF0-H1-A3_sma3nz_amean,Voice quality,0.03401469604807545,0.023544286234522947,0.025387141872067646
F1amplitudeLogRelF0_sma3nz_amean,Formants,0.032871753623039755,-0.02003683782471473,0.026533423072544204
F2frequency_sma3nz_stddevNorm,Formants,0.03241647976386394,-0.027819825200291384,0.027256104832701737
mfcc2_sma3_stddevNorm,Spectral,0.029488271265792045,-0.033991513312292596,0.00939177846858091
alphaRatioV_sma3nz_stddevNorm,Spectral,0.027799265543807104,0.007964117504248651,0.029267081278916755
F1amplitudeLogRelF0_sma3nz_stddevNorm,Formants,0.0276981989336707,-0.017443941895282037,0.01754717388875091
spectralFlux_sma3_amean,Spectral,0.02764632824705943,-0.0039955895443878784,0.015419499120050311
mfcc3V_sma3nz_stddevNorm,Spectral,0.02608913194700868,0.034034940924172606,0.04346370011298593
spectralFlux_sma3_stddevNorm,Spectral,0.023866607026785808,0.0011378150036416698,0.010190559451225526
slopeV0-500_sma3nz_stddevNorm,Spectral,0.022826661645072285,0.002204312940034066,0.0073680730572459946
spectralFluxUV_sma3nz_amean,Spectral,0.02229268697353483,0.0029275604920287984,0.010233954693718994
logRelF0-H1-H2_sma3nz_stddevNorm,Voice quality,0.020501238229141183,0.01472710123816463,0.013747913333220002
F0semitoneFrom27.5Hz_sma3nz_amean,Pitch,0.018534590586228875,0.0073126454641093425,0.010635588648725184
F3amplitudeLogRelF0_sma3nz_amean,Formants,0.016178712171879814,-0.010018327668527883,0.010941859446481442
shimmerLocaldB_sma3nz_stddevNorm,Voice quality,0.015709423374098218,0.04805443958889701,0.020159733902692625
logRelF0-H1-H2_sma3nz_amean,Voice quality,0.014558857841783386,0.005137352512745771,0.022563167033391632
loudness_sma3_amean,Loudness/Energy,0.014412156445970749,-0.005096493080844837,0.011496535909365878
HNRdBACF_sma3nz_stddevNorm,Voice quality,0.014400040504473749,0.006704641094116718,0.006061086399074619
