model,feature,rank_by_shap,category,mdi,shap_abs,shap_signed,perm_mean,perm_sd
Demographics,education_years,1,Demographics,0.4268,3.8718,-0.2697,1.0183,0.4917
Demographics,age,2,Demographics,0.4791,2.7992,0.4211,0.2671,0.2574
Demographics,gender,3,Demographics,0.0941,1.1642,0.0371,0.0495,0.0764
Psych,gad7,1,Clinical,0.8931,7.1448,-0.1414,1.5062,0.5615
Psych,SSRS,2,Clinical,0.046,0.6341,-0.1807,-0.0295,0.0208
Psych,LES,3,Clinical,0.0376,0.4384,0.1147,0.0282,0.0178
Psych,ctq_sf,4,Clinical,0.0234,0.2731,0.074,-0.0045,0.0109
Clinical,gad7,1,Clinical,0.8809,7.0885,-0.014,1.3817,0.5115
Clinical,SSRS,2,Clinical,0.0323,0.5577,-0.1557,-0.028,0.0169
Clinical,age,3,Demographics,0.0317,0.489,-0.0321,-0.0013,0.0103
Clinical,LES,4,Clinical,0.0262,0.3013,0.0806,0.0269,0.0175
Clinical,ctq_sf,5,Clinical,0.0165,0.1982,0.0216,-0.0014,0.0053
Clinical,education_years,6,Demographics,0.01,0.1402,-0.0266,-0.0052,0.0062
Clinical,gender,7,Demographics,0.0025,0.0219,0.0092,-0.003,0.0015
Acoustic,spectralFluxV_sma3nz_amean,1,Spectral,0.1894,1.7802,-0.0496,0.1611,0.1586
Acoustic,logRelF0-H1-A3_sma3nz_amean,2,Voice quality,0.0819,0.7684,0.0058,0.0235,0.0254
Acoustic,spectralFlux_sma3_amean,3,Spectral,0.0661,0.6986,-0.0258,-0.004,0.0154
Acoustic,shimmerLocaldB_sma3nz_stddevNorm,4,Voice quality,0.0478,0.5595,0.0292,0.0481,0.0202
Acoustic,HNRdBACF_sma3nz_stddevNorm,5,Voice quality,0.0591,0.5127,0.0007,0.0067,0.0061
Acoustic,alphaRatioV_sma3nz_stddevNorm,6,Spectral,0.0595,0.5084,0.004,0.008,0.0293
Acoustic,spectralFluxUV_sma3nz_amean,7,Spectral,0.0272,0.2902,-0.0017,0.0029,0.0102
Acoustic,equivalentSoundLevel_dBp,8,Loudness/Energy,0.0324,0.2686,-0.0836,-0.0021,0.0221
Acoustic,mfcc3V_sma3nz_stddevNorm,9,Spectral,0.0193,0.2363,0.037,0.034,0.0435
Acoustic,mfcc3_sma3_amean,10,Spectral,0.0158,0.1993,-0.0343,-0.0035,0.0052
Acoustic,logRelF0-H1-H2_sma3nz_stddevNorm,11,Voice quality,0.0282,0.189,-0.0048,0.0147,0.0137
Acoustic,loudness_sma3_stddevNorm,12,Loudness/Energy,0.0185,0.1592,0.0182,-0.0065,0.0115
Acoustic,F3bandwidth_sma3nz_amean,13,Formants,0.0121,0.1525,0.0126,0.0146,0.0212
Acoustic,mfcc3V_sma3nz_amean,14,Spectral,0.0147,0.1481,0.016,-0.0247,0.017
Acoustic,slopeV500-1500_sma3nz_amean,15,Spectral,0.0189,0.1471,-0.0142,-0.0,0.0073
Acoustic,logRelF0-H1-H2_sma3nz_amean,16,Voice quality,0.016,0.1432,0.0082,0.0051,0.0226
Acoustic,mfcc2V_sma3nz_amean,17,Spectral,0.006,0.1354,-0.0132,-0.0007,0.0058
Acoustic,F1amplitudeLogRelF0_sma3nz_stddevNorm,18,Formants,0.0127,0.1153,0.0059,-0.0174,0.0175
