rank,feature,mean_abs_shap,mean_shap,std_shap
1,gad7,6.30996489027922,-0.0824746599105696,6.5655836680428035
2,PSQI,0.8592983371035251,0.05528073022786832,0.9163068631418605
3,mfcc3_sma3_amean,0.26282450637926524,-0.024091524657730005,0.3214493600551601
4,age,0.22101062297458826,-0.010581562389785349,0.24506977679510403
5,mfcc4V_sma3nz_amean,0.1592225039545982,0.004665531768481612,0.1903349268377709
6,mfcc2V_sma3nz_amean,0.11229841600656124,0.004747930545995509,0.1446044125828894
7,mfcc1_sma3_stddevNorm,0.09342368994016473,0.007391997023451677,0.16157031555548929
8,alphaRatioUV_sma3nz_amean,0.06986861102610221,-0.0218423211658044,0.09785344887899003
9,ctq_sf,0.06683659844342262,0.014874284577423662,0.08029677254625014
10,F2frequency_sma3nz_stddevNorm,0.06677931891624005,0.0058236088756805715,0.07996675651094588
11,mfcc4_sma3_stddevNorm,0.05924089149233331,0.005143356035077304,0.07579922481954443
12,spectralFlux_sma3_stddevNorm,0.05816447949150942,-0.006674588644585187,0.09078688757505418
13,logRelF0-H1-A3_sma3nz_stddevNorm,0.05141657053016137,0.0025938175657196955,0.07218059566791592
14,hammarbergIndexUV_sma3nz_amean,0.04994787741186862,-0.0003179464126703369,0.06571750416150031
15,mfcc2V_sma3nz_stddevNorm,0.04654913549064407,0.003064585942578001,0.09080046507928888
16,equivalentSoundLevel_dBp,0.04353994037725799,-0.015857345058722196,0.05008271789873062
17,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04290449620021838,-0.012046064849374111,0.06185187747789339
18,SSRS,0.03760843053854922,-0.018155473208845238,0.04262537998663652
19,loudness_sma3_meanRisingSlope,0.03262549084743337,-0.007907500232188747,0.040510967885217145
20,MeanVoicedSegmentLengthSec,0.031148044823029655,-0.004045659210761946,0.037802820620712774
21,spectralFlux_sma3_amean,0.030395929212059473,-0.01027391926438748,0.03428470909112574
22,mfcc3V_sma3nz_stddevNorm,0.030003851568222214,0.006633606707471342,0.05428174906061312
23,mfcc3V_sma3nz_amean,0.02985813030591492,0.005780668718709038,0.05495369164203677
24,slopeV500-1500_sma3nz_stddevNorm,0.029579931333720815,-0.0016665350159297944,0.0389271839429894
25,mfcc4_sma3_amean,0.02957063910493006,0.002865631896594108,0.03706416613556587
26,shimmerLocaldB_sma3nz_stddevNorm,0.029361072501442684,-0.0036968220297350475,0.04561719137035622
27,mfcc4V_sma3nz_stddevNorm,0.028562066301123346,8.455145538402911e-05,0.03883946769531016
28,loudness_sma3_meanFallingSlope,0.02751764820935735,-0.002868470210622208,0.03634500113190537
29,logRelF0-H1-H2_sma3nz_stddevNorm,0.02746619104608636,-0.0005239256421700623,0.03870608466673271
30,LES,0.02729586463666676,0.014244463015555299,0.037171160352579606
31,slopeUV0-500_sma3nz_amean,0.024711090941689853,-0.010027743957520171,0.03145831057678953
32,loudness_sma3_stddevFallingSlope,0.023889821150211994,-0.0012871657406124534,0.0262788986617978
33,mfcc1V_sma3nz_amean,0.023701398095055688,-0.0020776330823485583,0.030622518529171524
34,F3bandwidth_sma3nz_amean,0.023679389294389567,-0.002152610884305637,0.03241697423293025
