rank,feature,mean_abs_shap,mean_shap,std_shap
1,gad7,6.333619466671015,-0.07757145695660722,6.588083502324584
2,PSQI,0.8256648171951064,0.04487438389308677,0.878197094456342
3,mfcc3_sma3_amean,0.2561292177740055,-0.02141697100544559,0.31318941038407405
4,age,0.23270913745541588,-0.018075675862194034,0.26402514529181614
5,mfcc4V_sma3nz_amean,0.12830629826103374,-0.002958739047058967,0.15245839229570335
6,mfcc2V_sma3nz_amean,0.12420785062260067,0.00695430650365222,0.1495641615868577
7,alphaRatioUV_sma3nz_amean,0.07346709017321709,-0.02372550043779057,0.09653812177480366
8,F2frequency_sma3nz_stddevNorm,0.07284538545252105,0.008951026418172523,0.08807891369565941
9,hammarbergIndexUV_sma3nz_amean,0.06681258377581566,0.008552623127388638,0.10159256869743702
10,mfcc4_sma3_stddevNorm,0.0638807561289278,0.005372807980183575,0.0878720194319285
11,mfcc3V_sma3nz_stddevNorm,0.0617731993513097,0.006289473872846677,0.12336759489042701
12,logRelF0-H1-H2_sma3nz_stddevNorm,0.05763091765863896,0.01049990202114842,0.0764830764694146
13,spectralFlux_sma3_stddevNorm,0.057520233319895864,-0.012974807689136872,0.0765272624702466
14,spectralFluxV_sma3nz_stddevNorm,0.055704616536691606,-0.0029442023148980707,0.06493549802656699
15,mfcc1_sma3_stddevNorm,0.05477191136088632,0.003933637804307041,0.10018000860033574
16,mfcc2V_sma3nz_stddevNorm,0.05043539805801507,0.0013289462002775533,0.09812289630572175
17,ctq_sf,0.04679322086152709,-0.000395683376507988,0.053763168368529846
18,MeanVoicedSegmentLengthSec,0.04514028746047834,-0.0023942690840887846,0.05194547169319722
19,spectralFlux_sma3_amean,0.04474192756587288,-0.010703191073681163,0.05263403752962719
20,HNRdBACF_sma3nz_amean,0.04279197771546522,-0.01184454535390238,0.08138085586335098
21,F2bandwidth_sma3nz_stddevNorm,0.04193071547829519,-0.009561094514748354,0.04655443161024791
22,mfcc4V_sma3nz_stddevNorm,0.04168997223080474,-0.008190192869792754,0.05412247589358563
23,logRelF0-H1-A3_sma3nz_stddevNorm,0.039904208152436685,0.008831514700165593,0.04728050916926723
24,equivalentSoundLevel_dBp,0.03818778098495749,-0.015714843031777732,0.041983562890072205
25,SSRS,0.03315951133766849,-0.005906381587605707,0.04162766945827545
26,slopeV500-1500_sma3nz_stddevNorm,0.032000682399014976,0.0016635740079726652,0.041932808646047995
27,LES,0.030945995132787524,0.015133018749130712,0.041120961062763604
28,F3bandwidth_sma3nz_stddevNorm,0.02942445151855795,0.00019755699027661068,0.03565959751867669
29,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.028606921788549358,-0.009060388185033906,0.03520181174392202
30,shimmerLocaldB_sma3nz_stddevNorm,0.028176333920079004,0.0016583827851283186,0.05175595489612841
31,mfcc3V_sma3nz_amean,0.02814955095989093,0.0011312840650492069,0.05037177029934749
32,F1bandwidth_sma3nz_amean,0.0272691076068648,0.00434577698652094,0.033214908823522835
33,mfcc1V_sma3nz_amean,0.026660525361969903,-0.0020402691121203975,0.03446810249012897
34,spectralFluxV_sma3nz_amean,0.02644995677868961,0.010944166353617082,0.035723011483434174
35,StddevUnvoicedSegmentLength,0.02309995493031116,0.0035954047077990958,0.04473052456908111
36,F3frequency_sma3nz_amean,0.02289785175592918,-0.0015012476352794962,0.026816009444304498
37,slopeV500-1500_sma3nz_amean,0.022637646701891893,-0.0012591552438543686,0.032704828743697775
38,F0semitoneFrom27.5Hz_sma3nz_amean,0.02122887740137808,-0.008159938047700318,0.030615920449555033
39,mfcc2_sma3_amean,0.02069750514258041,-0.004472464548776264,0.0314203566762381
40,slopeV0-500_sma3nz_amean,0.020454883207734146,-0.0007544640878279577,0.02540237556446494
41,HNRdBACF_sma3nz_stddevNorm,0.02029315594160051,-0.002511033074673437,0.02764602214926768
42,VoicedSegmentsPerSec,0.018680919923452596,0.004291382707633091,0.02902406704251408
43,loudness_sma3_stddevNorm,0.018511722326892792,-0.012288567140088729,0.047799469143273376
44,F1bandwidth_sma3nz_stddevNorm,0.017998823122641523,-0.011408486560258956,0.026271506275127806
45,F1frequency_sma3nz_stddevNorm,0.01704446684383088,0.0008755431017322552,0.025454655463936403
46,mfcc4_sma3_amean,0.016675014410410447,0.00067088904728801,0.02335331977742531
47,spectralFluxUV_sma3nz_amean,0.01666469899390436,-0.0037253947277501843,0.023815725422688977
48,slopeUV0-500_sma3nz_amean,0.01562330872324612,-0.0006140907045677391,0.023494173384782987
49,StddevVoicedSegmentLengthSec,0.01529560962473647,0.005723591644670614,0.017129386136151524
50,mfcc3_sma3_stddevNorm,0.014738063389335938,-0.0017478965791114045,0.02026280548859998
