fold,config,family,inner_MAE,inner_R2
1,A-priori collapse,A-priori collapse,6.8910731707317066,0.10612061171860623
1,Corr. clustering (0.6),Corr. clustering,7.243658536585366,0.04351133161411336
1,Corr. clustering (0.7),Corr. clustering,7.156585365853658,0.0889832406182495
1,Corr. clustering (0.75),Corr. clustering,7.241560975609756,0.06591091749418101
1,Corr. clustering (0.8),Corr. clustering,7.228975609756098,0.06191519399835912
1,Corr. clustering (0.9),Corr. clustering,7.289365853658538,0.04221554431736363
1,PCA (0.8),PCA,7.423024390243901,-0.05185858733693911
1,PCA (0.9),PCA,7.565804878048782,-0.06330853609524914
1,PCA (0.95),PCA,7.652682926829269,-0.0726978498584991
2,A-priori collapse,A-priori collapse,6.972487804878048,0.04747488406695595
2,Corr. clustering (0.6),Corr. clustering,7.492536585365855,-0.06476722575502611
2,Corr. clustering (0.7),Corr. clustering,7.782146341463415,-0.12731158373926132
2,Corr. clustering (0.75),Corr. clustering,7.3981463414634145,-0.05561706137631739
2,Corr. clustering (0.8),Corr. clustering,7.209219512195122,-0.004075228234877359
2,Corr. clustering (0.9),Corr. clustering,7.3223414634146335,-0.03162754051899737
2,PCA (0.8),PCA,7.8947317073170735,-0.2331657475865733
2,PCA (0.9),PCA,7.377853658536585,-0.10172679939775034
2,PCA (0.95),PCA,7.256243902439024,-0.04011399220618193
3,A-priori collapse,A-priori collapse,6.983714285714285,0.10524912326961104
3,Corr. clustering (0.6),Corr. clustering,7.68,-0.03629667765326301
3,Corr. clustering (0.7),Corr. clustering,7.394904761904762,0.03853965062623588
3,Corr. clustering (0.75),Corr. clustering,7.457904761904762,0.013550494396835911
3,Corr. clustering (0.8),Corr. clustering,7.173809523809524,0.06394958470665779
3,Corr. clustering (0.9),Corr. clustering,7.267333333333333,0.04561754779169418
3,PCA (0.8),PCA,7.890571428571429,-0.17164283454185889
3,PCA (0.9),PCA,8.369380952380952,-0.25418012524719846
3,PCA (0.95),PCA,7.826190476190476,-0.11325700725115355
4,A-priori collapse,A-priori collapse,6.586190476190476,0.22664169156122158
4,Corr. clustering (0.6),Corr. clustering,7.414761904761905,0.016852697174388774
4,Corr. clustering (0.7),Corr. clustering,7.752047619047619,-0.03552102844638949
4,Corr. clustering (0.75),Corr. clustering,7.691095238095238,-0.008904126153553427
4,Corr. clustering (0.8),Corr. clustering,7.4797142857142855,0.03432683093901634
4,Corr. clustering (0.9),Corr. clustering,7.188142857142857,0.11574257159166594
4,PCA (0.8),PCA,7.697380952380952,-0.1159927913614307
4,PCA (0.9),PCA,7.785523809523809,-0.11002499667015497
4,PCA (0.95),PCA,7.752047619047619,-0.0641101845685472
5,A-priori collapse,A-priori collapse,6.163904761904761,0.24538696037679059
5,Corr. clustering (0.6),Corr. clustering,6.740428571428572,0.1336212613374765
5,Corr. clustering (0.7),Corr. clustering,7.484619047619049,-0.007511680346204907
5,Corr. clustering (0.75),Corr. clustering,7.324809523809523,0.03505942098541479
5,Corr. clustering (0.8),Corr. clustering,6.400380952380952,0.22000825034775034
5,Corr. clustering (0.9),Corr. clustering,6.455285714285713,0.2093019862852122
5,PCA (0.8),PCA,7.919047619047619,-0.15797753703236722
5,PCA (0.9),PCA,7.623476190476191,-0.0773743326852839
5,PCA (0.95),PCA,7.952619047619047,-0.14366357707043692
