feature_set,model,n_features,MAE,RMSE,R2,r
Demographics only,RF,3,5.964 +/- 0.254,7.564 +/- 0.285,0.188 +/- 0.061,0.495 +/- 0.039
Demographics only,GBM,3,6.294 +/- 0.290,8.203 +/- 0.336,0.045 +/- 0.078,0.452 +/- 0.047
Psych scales only,RF,5,2.561 +/- 0.131,3.705 +/- 0.183,0.805 +/- 0.020,0.899 +/- 0.011
Psych scales only,GBM,5,2.706 +/- 0.193,3.750 +/- 0.297,0.799 +/- 0.034,0.897 +/- 0.018
Clinical (all),RF,8,2.663 +/- 0.124,3.901 +/- 0.179,0.784 +/- 0.020,0.887 +/- 0.011
Clinical (all),GBM,8,2.766 +/- 0.166,4.061 +/- 0.282,0.765 +/- 0.034,0.878 +/- 0.018
Acoustic only,RF,72,6.282 +/- 0.150,7.380 +/- 0.152,0.228 +/- 0.032,0.478 +/- 0.032
Acoustic only,GBM,72,5.978 +/- 0.265,7.505 +/- 0.313,0.200 +/- 0.067,0.495 +/- 0.048
Demographics + Acoustic,RF,75,6.227 +/- 0.126,7.302 +/- 0.154,0.244 +/- 0.032,0.496 +/- 0.031
Demographics + Acoustic,GBM,75,6.132 +/- 0.281,7.646 +/- 0.357,0.170 +/- 0.080,0.471 +/- 0.052
Clinical + Acoustic,RF,80,2.828 +/- 0.157,4.095 +/- 0.226,0.762 +/- 0.027,0.875 +/- 0.015
Clinical + Acoustic,GBM,80,3.149 +/- 0.214,4.463 +/- 0.305,0.716 +/- 0.039,0.850 +/- 0.022
