feature_set,group,n,p,phq9_sd,R2_mean,R2_sd,MAE_mean,MAE_sd,r_mean,r_sd
Demographics,All,52,3,8.48,0.188,0.061,5.964,0.254,0.495,0.039
Demographics,MDD,23,3,4.44,-0.379,0.144,4.032,0.214,-0.113,0.118
Demographics,HC,29,3,2.11,-0.168,0.184,1.626,0.1,0.244,0.115
Psych,All,52,4,8.48,0.778,0.019,2.622,0.122,0.884,0.01
Psych,MDD,23,4,4.44,-0.197,0.094,3.563,0.173,0.063,0.089
Psych,HC,29,4,2.11,0.122,0.044,1.506,0.059,0.408,0.042
Clinical,All,52,7,8.48,0.764,0.019,2.66,0.123,0.876,0.011
Clinical,MDD,23,7,4.44,-0.392,0.097,3.93,0.174,-0.111,0.093
Clinical,HC,29,7,2.11,0.042,0.049,1.507,0.055,0.325,0.04
Acoustic,All,52,72,8.48,0.228,0.032,6.282,0.15,0.478,0.032
Acoustic,MDD,23,72,4.44,-0.263,0.077,3.59,0.12,-0.174,0.076
Acoustic,HC,29,72,2.11,-0.233,0.057,1.795,0.049,-0.153,0.103
Demo+Acoustic,All,52,75,8.48,0.244,0.032,6.227,0.126,0.496,0.031
Demo+Acoustic,MDD,23,75,4.44,-0.289,0.078,3.664,0.118,-0.214,0.08
Demo+Acoustic,HC,29,75,2.11,-0.206,0.058,1.725,0.045,-0.072,0.093
Clinical+Acoustic,All,52,79,8.48,0.742,0.02,2.915,0.116,0.863,0.011
Clinical+Acoustic,MDD,23,79,4.44,-0.329,0.074,3.722,0.133,-0.243,0.072
Clinical+Acoustic,HC,29,79,2.11,-0.116,0.054,1.638,0.047,0.005,0.093
